Hostname, SID, Context, Function, Owner, State
fx201-pe1, 3ffe:201:1:1:4c::, '1', End.DT4, BGP, InUse
fx201-pe1, 3ffe:201:1:1:4e::, '1', End.DT6, BGP, InUse
fx201-pe1, 3ffe:201:1:1:52::, '2', End.DT4, BGP, InUse
fx201-pe1, 3ffe:201:1:1:53::, '2', End.DT6, BGP, InUse
fx201-pe1, 3ffe:201:1:1:54::, '2':[Port-channel 2010002  201.0.2.2], End.DX4, BGP, InUse
fx201-pe1, 3ffe:201:1:1:55::, '2':[Port-channel 2010002  201:2::2], End.DX6, BGP, InUse
f220-pe2, 3ffe:220:1:1:4d::, '2', End.DT4, BGP, InUse
f220-pe2, 3ffe:220:1:1:50::, '2', End.DT6, BGP, InUse
f220-pe2, 3ffe:220:1:1:52::, '2':[Port-channel 2010002  220.0.2.2], End.DX4, BGP, InUse
f220-pe2, 3ffe:220:1:1:53::, '2':[Port-channel 2010002  220:2::2], End.DX6, BGP, InUse
f220-pe2, 3ffe:220:1:1:56::, '1', End.DT4, BGP, InUse
f220-pe2, 3ffe:220:1:1:57::, '1', End.DT6, BGP, InUse
